what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1299868997538
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1299868997568
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1299868997610
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1299869003146
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299869007684
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299869051737
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299869052465
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299869054325
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299869054499
error,log,,,"Could not write: F:\\workspace\\.metadata\\.mylyn\\repositories.xml.zip",1299869054664
error,log,,,"Problems saving workspace",1299869056189
error,log,,,"Problems occurred while trying to save the state of the workbench.",1299869056190
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1299869056791
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1299869056808
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1299869057183
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1299869057217
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.1.201102110609,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1299869057239
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201102110609,"org.eclipse.cdt.debug.ui.memory.search",1299869057259
activated,perspective,org.eclipse.cdt.ui,,"org.eclipse.cdt.ui.CPerspective",1305090329810
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1305090329811
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1305090329811
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1305090329812
started,bundle,org.eclipse.cdt.core,5.2.1.201102110609,"org.eclipse.cdt.core",1305090329813
started,bundle,org.eclipse.cdt.make.core,7.0.1.201102110609,"org.eclipse.cdt.make.core",1305090329814
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui",1305090329815
